run_idx,seed,best_MRT1,best_MRT2,best_Pe1,best_Pe2,best_fr1,best_fr2,best_J,nit,nfev,success,message
513,613,11.771693119757504,49.04830326227719,13.52547396108831,2.839475163458406,0.3416772370575016,0.5765016497622202,0.03466972975973572,500,109760,False,Maximum number of iterations has been exceeded.
514,614,11.61304847475962,50.23264839196839,14.351633030195366,1.9986390223307886,0.2768217790899913,0.665141580709681,0.032010881371385635,500,106936,False,Maximum number of iterations has been exceeded.
515,615,11.707207854362185,50.47015229646517,14.067011192851332,2.163804225254058,0.2961312092438716,0.6406125216777263,0.032265157284530284,500,104677,False,Maximum number of iterations has been exceeded.
516,616,11.599623790854835,49.228659309577274,14.695487484088193,2.143838184188766,0.28540380362771156,0.6490034103257522,0.03178584317861419,500,105932,False,Maximum number of iterations has been exceeded.
517,617,11.650109406581969,49.83516701945003,13.59906131402639,2.381587288932163,0.30631492206786254,0.6337888852273512,0.03390581955875165,500,106809,False,Maximum number of iterations has been exceeded.
518,618,11.65779224497491,49.166775133909766,14.206684668979978,2.131888854697653,0.2829641814558154,0.6525838174033013,0.03247737736891267,500,104754,False,Maximum number of iterations has been exceeded.
519,619,11.902745444934109,50.95792377768494,12.872476406592387,2.8001188473852956,0.3513041719579765,0.5798220660284608,0.03473916424831611,500,106516,False,Maximum number of iterations has been exceeded.
520,620,11.43235537365193,46.7656351870143,14.859599363964143,2.2018775631453273,0.26797951607741816,0.6559156362634334,0.03267972816967261,500,104726,False,Maximum number of iterations has been exceeded.
521,621,11.812347201219517,50.84279508020667,13.319159891747645,2.5210205073202303,0.33259772551114586,0.5991233438041633,0.03344903292894079,500,104991,False,Maximum number of iterations has been exceeded.
522,622,11.513327938247777,48.54089966486754,15.426319010096504,1.918892763469362,0.2575264398774083,0.6815977906439721,0.03245181677283364,500,104103,False,Maximum number of iterations has been exceeded.
523,623,11.856595765945144,51.72349165789352,13.13025759067094,2.287855753166518,0.3228925095398173,0.620866856315631,0.03458520466687306,500,108175,False,Maximum number of iterations has been exceeded.
524,624,11.465668954376916,46.96112727686174,14.41605963509075,2.6522696544359334,0.30734872284486126,0.610415813804357,0.03441521618088041,500,105034,False,Maximum number of iterations has been exceeded.
525,625,11.289658376889953,48.34299449212937,16.919794702350835,1.908753101382512,0.24549777104252568,0.6981093688597579,0.03347062973950955,500,106297,False,Maximum number of iterations has been exceeded.
526,626,11.49690500978571,46.405272700496596,14.601971882620234,2.5047063381406325,0.29768767023147524,0.6156975166016716,0.0336742399000296,500,107128,False,Maximum number of iterations has been exceeded.
527,627,11.524068920442925,46.50307919065486,15.435045483011798,2.075698601632027,0.2560255608001597,0.6774051582993326,0.033567981797540294,500,108345,False,Maximum number of iterations has been exceeded.
528,628,11.63440417282279,50.19405921271918,13.8820199011856,2.311399307389024,0.3061588036641653,0.6214752047452758,0.032678429960672946,500,106980,False,Maximum number of iterations has been exceeded.
529,629,11.489069024987938,49.373489074403565,14.841669923802515,2.2071443237177526,0.2852729427320711,0.6490291428547718,0.03163770643027315,500,106712,False,Maximum number of iterations has been exceeded.
530,630,11.498078952681425,45.52702653962288,15.02959870325775,2.3527183899330026,0.2731360935719103,0.6383623494570211,0.034065789818884515,500,106571,False,Maximum number of iterations has been exceeded.
531,631,11.637975873181773,50.9748400732944,13.913844928472779,2.128805889341404,0.29164749024561465,0.658469201325464,0.03307831924557484,500,106560,False,Maximum number of iterations has been exceeded.
532,632,11.540190148022742,46.75652957647079,14.498091899913604,2.188469047693271,0.2766794423895771,0.6358255905492481,0.034496277827183966,500,105499,False,Maximum number of iterations has been exceeded.
533,633,11.708899885989982,50.47043876108024,14.0498346425762,2.2511183011079616,0.30084064651439935,0.639397980468267,0.03289551823761679,500,105333,False,Maximum number of iterations has been exceeded.
534,634,11.62059119976077,49.345449429787806,14.139661949071169,2.174773116587925,0.28620259391739133,0.6424643097076155,0.03261241753044911,500,104439,False,Maximum number of iterations has been exceeded.
535,635,11.465372077261701,49.74025956001676,15.249145769501832,2.057376055276503,0.27777489150706597,0.6646396343799584,0.032570457719465214,500,105493,False,Maximum number of iterations has been exceeded.
536,636,11.539204186509984,48.18251998711289,15.026240849763784,2.2125587439807894,0.2787498671789315,0.6571512693611845,0.032416622062465476,500,106323,False,Maximum number of iterations has been exceeded.
537,637,11.596379060197954,51.08307563510692,14.15937302028691,2.099074862807754,0.2902174354369526,0.6545207346263013,0.031929370664545376,500,104115,False,Maximum number of iterations has been exceeded.
538,638,11.642984121218785,48.30377187548727,13.915326419571167,2.581575937375913,0.31173545162937893,0.6121904318078634,0.033166713532895103,500,105616,False,Maximum number of iterations has been exceeded.
539,639,11.641902990868797,49.78926536055013,14.406767930611672,2.1233542209047798,0.28781929362839304,0.6381243809159765,0.032725453439785,500,107514,False,Maximum number of iterations has been exceeded.
540,640,11.49642355840049,49.52786020200327,14.565730133818459,2.2431834369388994,0.2874118616911798,0.6640743452708106,0.03429624606458577,500,110068,False,Maximum number of iterations has been exceeded.
541,641,11.639507023367795,49.23066469709076,14.206314520627235,2.167848000701415,0.28981024256503746,0.6390677585899334,0.03199491583920348,500,107656,False,Maximum number of iterations has been exceeded.
542,642,11.687752408220373,49.74234805437423,14.17148402509807,2.1971241502598566,0.2942436566180291,0.6375719351218089,0.0322338324947203,500,106171,False,Maximum number of iterations has been exceeded.
543,643,11.358721062233936,45.10265030409023,16.556334946290633,2.1570987529020336,0.25334350435963776,0.6593025431879949,0.03453948275761683,500,106308,False,Maximum number of iterations has been exceeded.
544,644,11.703056892929503,50.80473287248194,13.787341326363563,2.297634864846323,0.3107100139687782,0.6183279346230579,0.032782465103340784,500,108543,False,Maximum number of iterations has been exceeded.
545,645,11.641086570328596,49.61497266741531,13.84813342580824,2.48515091066448,0.3130906898733441,0.6085552619286516,0.033604302581860604,500,105247,False,Maximum number of iterations has been exceeded.
546,646,11.386301892349788,47.06260222970624,15.295449459364457,2.215090251423902,0.26862965185850907,0.6520771267505217,0.03251735140061018,500,104384,False,Maximum number of iterations has been exceeded.
547,647,11.497639861818435,47.561995839672775,14.828222277516613,2.3299665876241207,0.2844524443919584,0.6301301606508561,0.03327956939247867,500,108612,False,Maximum number of iterations has been exceeded.
548,648,11.390174218341759,47.6448552302748,16.017762920131524,2.0805309291147935,0.2569862333621601,0.6617804365821286,0.03408470306249619,500,105617,False,Maximum number of iterations has been exceeded.
549,649,11.637964067465166,52.18199493255629,14.049882580538533,2.0856466735487125,0.298597195785235,0.6353494981422649,0.03445410366552383,500,107118,False,Maximum number of iterations has been exceeded.
550,650,11.414991052957443,46.60274426300583,14.605979751010105,2.227332708565555,0.27156318540686586,0.6587458606932364,0.03409185281885615,500,108542,False,Maximum number of iterations has been exceeded.
551,651,11.444716176221718,50.35920816973788,14.935669350324833,2.1545679064543926,0.28683645281669395,0.6600341457129107,0.033001905477652214,500,106248,False,Maximum number of iterations has been exceeded.
552,652,11.394709924723447,46.5009135653021,14.944555695489267,2.5238491045201314,0.2900782807473934,0.633650562061469,0.034154511381672026,500,102868,False,Maximum number of iterations has been exceeded.
553,653,11.542798795602405,51.46643335604222,14.32480569718729,2.202101560695052,0.30010979912046754,0.6472908872478289,0.03308033995576349,500,105875,False,Maximum number of iterations has been exceeded.
554,654,11.550583208318344,48.86174731331532,16.120071466816793,1.792098842242833,0.24286797070791666,0.6909695146310423,0.03380751580620612,500,104013,False,Maximum number of iterations has been exceeded.
555,655,11.58283483242478,48.06878552567291,13.962836268952643,2.3999045878434266,0.3024702577727994,0.6186279199565806,0.03273985435606783,500,105228,False,Maximum number of iterations has been exceeded.
556,656,11.575773475653033,50.18739648726979,14.18260985058653,2.210339327185064,0.29242150628894253,0.64595266221869,0.03207552737534189,500,109876,False,Maximum number of iterations has been exceeded.
