basin_id,n_points,rep_run_idx,rep_J,rep_MRT1,rep_MRT2,rep_Pe1,rep_Pe2,rep_fr1,rep_fr2,radius_norm,rep_MRT1_norm,rep_MRT2_norm,rep_Pe1_norm,rep_Pe2_norm,rep_fr1_norm,rep_fr2_norm,MRT1_lo,MRT1_hi,MRT1_span,MRT2_lo,MRT2_hi,MRT2_span,Pe1_lo,Pe1_hi,Pe1_span,Pe2_lo,Pe2_hi,Pe2_span,fr1_lo,fr1_hi,fr1_span,fr2_lo,fr2_hi,fr2_span
1,26,591,0.0317947231081925,11.367766600266505,46.842307079046975,15.554496859772462,2.146814440798956,0.2623734400879959,0.6638043842257815,0.3213256854077171,0.1114083299598606,0.24834299656328304,0.6328885267675902,0.34739427730788996,0.2552183961151904,0.6165847145346612,11.289658376889951,11.593047586181047,0.3033892092910957,44.55890548455972,49.796751506968356,5.2378460224086325,14.018608589328286,17.09038513021664,3.0717765408883526,1.7769049108422337,2.5167239707556783,0.7398190599134447,0.2305601039763523,0.3024271438443903,0.071867039868038,0.6140890478778663,0.7135197205736965,0.09943067269583017
2,55,402,0.0320540374472547,11.600502674061008,50.31745728636084,14.216229374469492,2.319911290803564,0.3045558539287422,0.6327824297149224,0.2646025184095188,0.4433674525974389,0.6263006970726571,0.3529074075358652,0.4977566212468387,0.5936213843124025,0.4160801715073293,11.414990220715953,11.786015127406063,0.3710249066901099,47.884556738317094,52.75035783440459,4.865801096087495,12.951469279615871,15.480989469323113,2.5295201897072417,2.0153013649396065,2.624521216667522,0.6092198517279153,0.2715727736246482,0.33753893423283615,0.06596616060818794,0.5918432711022424,0.6737215883276023,0.08187831722535988
3,42,97,0.0312472462271983,11.490801346238278,49.393359183534,15.310948804956077,1.971367719425136,0.2613246385077086,0.6834755027938458,0.3097834986757441,0.2868968378685639,0.5257956906259064,0.5819354417355918,0.19499069364089128,0.24680452036746475,0.7437252735844005,11.289658376889951,11.707990121275593,0.41833174438564136,46.54503994517858,52.241678421889425,5.696638476710845,13.830230444736848,16.791667165175305,2.9614367204384564,1.746894796449446,2.3279899055354445,0.5810951090859986,0.2305601039763523,0.29993959226975747,0.06937948829340518,0.6355459673377654,0.723126189930964,0.08758022259319864
4,51,1022,0.0313093448433903,11.555292822362723,49.50208384398953,14.728900080321589,2.1539090380614248,0.2848848659409166,0.6540753750434124,0.29254165986597463,0.37888315302302483,0.5376205960840786,0.4601640805090511,0.3535570715682087,0.4358134138865482,0.5537031014648983,11.35019227625462,11.760393368470826,0.41020109221620515,46.81229551963187,52.191872168347196,5.379576648715329,13.330595106866674,16.127205053776503,2.796609946909829,1.8171356246429684,2.490682451479881,0.6735468268369127,0.2484191319121914,0.3213505999696418,0.07293146805745043,0.608813487567594,0.6993372625192308,0.09052377495163677
5,31,408,0.0332573767922598,11.810038878396853,49.68818846966549,13.288876324136256,2.553346716556589,0.3267906735876476,0.5993347540918579,0.32878983247220733,0.7422358377947912,0.5578613546638388,0.15889436619198635,0.7005326843217984,0.7719973644781356,0.19989743828265683,11.579524789477906,11.99075696982905,0.41123218035114384,46.665114583517365,52.711262355813616,6.046147772296251,12.529385239680073,14.86044209079638,2.3310568511163066,2.174844474415498,2.89809293203378,0.7232484576182818,0.2858065532822745,0.3552115264282235,0.06940497314594901,0.5684067304989135,0.6502049392387123,0.0817982087397987
6,43,881,0.0324375417431498,11.565703285118031,47.56370995171749,14.365239233824267,2.469198221284177,0.2983073998183663,0.6229766905831696,0.3407537569384877,0.3937319387147291,0.3268028485494102,0.38408200279196003,0.627436235785857,0.5434939650862926,0.3527026289037809,11.326801305589747,11.804605264646316,0.477803959056569,44.55890548455972,50.6967867152597,6.137881230699975,12.736487714232739,15.993990753415797,3.2575030391830584,2.076923131603233,2.8614733109651214,0.7845501793618883,0.2558319593101646,0.34078284032656797,0.08495088101640336,0.5702554535102065,0.6756979276561328,0.10544247414592633
7,45,793,0.0315467044708584,11.567909917944874,50.182950534713335,14.379371406383797,2.167510291613532,0.2903797619366157,0.6456859549686107,0.2994572900591865,0.3968793317477006,0.6116717286762169,0.38703861761959824,0.3653719391671763,0.4798955100842125,0.49947966954755657,11.357960833239023,11.777859002650725,0.4198981694117023,47.42957611681331,52.93632495261336,5.506748835800053,12.948010764556134,15.81073204821146,2.8627212836553255,1.8227756176102594,2.5122449656168047,0.6894693480065452,0.2530519847671555,0.32770753910607586,0.07465555433892035,0.5993540849276666,0.6920178250095548,0.09266374008188816
8,34,452,0.0317327735854959,11.521004495018657,51.011273685852686,14.837784524494484,1.9675612603452064,0.2730885749031628,0.672242719106609,0.32507337698488126,0.3299765831206016,0.7017602413466656,0.4829439723328071,0.1916841741441432,0.34117918664932234,0.6711242980608919,11.293096007812595,11.748912982224718,0.455816974412123,48.02237092795475,53.75345345283872,5.731082524883966,13.283982854045249,16.39158619494372,3.1076033408984713,1.746894796449446,2.341785125858305,0.594890329408859,0.23256771606076396,0.3136094337455616,0.08104171768479765,0.6219475419437571,0.7225378962694611,0.10059035432570396
9,37,267,0.032042002339036,11.45426360191728,47.1737853098708,14.913194468168648,2.284258735061336,0.2816994978298107,0.6455317451203444,0.40409960558873503,0.23478185049164224,0.28439460366429764,0.4987206094124368,0.4667866651287885,0.4102592080182933,0.49848296332306236,11.289658376889951,11.737577266802786,0.4479188899128346,44.55890548455972,50.88929851741905,6.330393032859327,12.981659354418449,16.84472958191885,3.8630702275003994,1.8190600225172195,2.7494574476054527,0.9303974250882332,0.23132790718093474,0.3320710884786866,0.10074318129775187,0.5830096725869505,0.7080538176537383,0.12504414506678785
10,46,23,0.0322814217416872,11.623303112674758,48.402532457525226,14.12191635574398,2.442084915272833,0.3064430685597632,0.6144182827286748,0.20088974794904782,0.4758884686761725,0.4180332721332182,0.33317602735149693,0.6038839860268859,0.6087613208963569,0.29738697639367456,11.482459593051791,11.764146632297726,0.2816870392459343,46.55544203367223,50.24962288137822,3.6941808477059936,13.16169368591312,15.082139025574842,1.9204453396617218,2.210821011975882,2.673348818569784,0.4625278065939016,0.28140187572191655,0.3314842613976099,0.05008238567569334,0.5833367295205573,0.6454998359367924,0.062163106416235125
