run_idx,seed,best_MRT1,best_MRT2,best_Pe1,best_Pe2,best_fr1,best_fr2,J_m,R2
1,101,11.499208486097004,48.87550449295265,14.306458211318212,2.3166102834416336,0.2958054788570595,0.6318796173197478,0.0326583481992067,0.9985930279169672
2,102,11.594517242738636,48.03310267584836,14.372157890853424,2.4995336076510988,0.3094292783170272,0.6038314570918867,0.0341023577710626,0.9985576122213936
3,103,11.543427026909333,46.876276849103206,14.969933791831975,2.4322036302059047,0.290120300323418,0.6242541729363746,0.0338318106589888,0.9985230128211768
4,104,11.578372070686846,48.41983357997777,14.336083014528556,2.477860238120609,0.3039481830243263,0.6257355996931936,0.0325659829139958,0.9986325725832887
5,105,11.693850169016851,48.76431191576573,13.486999168803184,2.749373172801498,0.3333915389913864,0.5842336256562501,0.0344372040973329,0.9984493502433848
6,106,11.448912563800192,47.26346649602555,14.764286698694356,2.4362554290965264,0.2918539588072162,0.6371425261779589,0.0329436699202731,0.9986559750693909
7,107,11.491608197868588,47.10071554088351,15.615261814926,2.063717554241101,0.260652981930879,0.6570922328568777,0.0329552524679858,0.9986671628279352
8,108,11.592262072145196,50.60012015825059,14.844369667916764,1.9619159129034145,0.2779247114741952,0.6737015064591989,0.0334747449893829,0.9985694705822059
9,109,11.781339502190525,51.56511700471533,13.385303910718026,2.350319804721672,0.3226366498424192,0.6124596163180552,0.0331442954114019,0.9985116837270311
10,110,11.719153695148275,50.68613176567763,13.61059260377064,2.423545407316737,0.3227547400512469,0.6147385856004777,0.0331803918660508,0.9985539362666063
11,111,11.413784339608767,46.5287083890397,14.98352555624313,2.371786937126192,0.2841803699697383,0.6360642610793312,0.0328606653099956,0.998689502736074
12,112,11.494385208475569,51.27545569245797,15.153307884572982,1.954712689078498,0.2701477673312259,0.6833869083602777,0.0319453360935727,0.9986564536274893
13,113,11.608800513750474,48.47401686278392,14.151537021871288,2.4160368710413174,0.2957440251449756,0.6357096263282253,0.034585218160629,0.9983051534422316
14,114,11.525226044333523,49.10844228468719,14.164694733219989,2.2142501987598777,0.2847293165615255,0.6579228375497603,0.0335290363324405,0.9984597820173937
15,115,11.71248168060294,51.64951302992984,13.993300613930309,2.0108183297197257,0.292284384972481,0.6528021526922335,0.0329530552136624,0.998568341557655
16,116,11.864271758910125,51.63356354769266,12.953160361793408,2.529281572155057,0.3386900909361743,0.590265050589852,0.0344748171086964,0.998345332431108
17,117,11.356272185578678,45.8912077691928,14.964383369702846,2.376538572155116,0.2780357735446078,0.6413518552743822,0.0337268399494749,0.9986069140776631
18,118,11.599038226517797,49.12445550963205,14.733104511358857,2.113713001185904,0.2823913688190568,0.6539707061367896,0.0319396310458068,0.9987127536126286
19,119,11.50815932636738,50.05254660316894,14.639333388741022,2.080717074910396,0.2829840689718613,0.6644745222231044,0.0324173365444071,0.9986173591141595
20,120,11.643500400765092,50.14361780354703,13.73261551255474,2.5260206486949457,0.3207209896831701,0.612248186917106,0.0332446428625535,0.9985178888813607
21,121,11.81460320517582,52.144170352887,13.211414425023856,2.214544562222226,0.3145679823448064,0.6181708103411093,0.034574376840201,0.9982894213749571
22,122,11.582235458752898,49.061199050254,13.84104833668717,2.4648573710015995,0.3091835190031863,0.6312438596365282,0.0339764238008202,0.998487756048391
23,123,11.623303112674758,48.402532457525226,14.12191635574398,2.442084915272833,0.3064430685597632,0.6144182827286748,0.0322814217416872,0.9986751306914063
24,124,11.582346212471592,51.22215858999113,14.155747446147048,2.2933176887286564,0.3084045800514773,0.6364258429541382,0.0331802962220154,0.9985468120842703
25,125,11.540832141640497,48.722650914764245,14.424511462421147,2.2233532452682248,0.2852620729894107,0.6513617758325368,0.0316842787900087,0.9986831106882864
26,126,11.546592400840396,47.91806824837582,14.207169197117889,2.2302835292932848,0.2819413738419216,0.6465757637049667,0.0326351077265989,0.9985614366636842
27,127,11.488941776862715,46.101527224615054,14.461922299441234,2.492024705742331,0.2913139762358399,0.6213918722891743,0.0333084232295265,0.9986531491000177
28,128,11.612034229960248,48.47730402485355,13.805159440988133,2.567321161661255,0.3142505949703177,0.6110658522147491,0.0328467335647141,0.9985875407610149
29,129,11.50959580852996,51.80571637488397,15.141280417766822,2.1010015382987177,0.2907948986844003,0.6543311486191624,0.0342852232871434,0.9984494347348651
30,130,11.55614448585849,50.48041771203127,15.328620846087318,1.8961394855817808,0.2637371442319562,0.6772656002921289,0.0317467282974544,0.9986632540216741
31,131,11.543791469860391,48.00102166081914,14.891122713633148,2.4900925578297404,0.3030085711328337,0.6115030757819593,0.0347644307754114,0.9984377064780029
32,132,11.75466753172728,51.43148990220576,13.840537612079086,2.193948708442296,0.3022991493623503,0.6381120754408109,0.0333215162621986,0.9984090591243676
33,133,11.61477351199725,49.17685027055667,14.17385361510058,2.1559786228375515,0.286552286233047,0.6440510513449602,0.0318895266802297,0.9986422090603521
34,134,11.518268646672368,51.97132556564914,14.548978965162704,1.933468810282648,0.271770473797614,0.6744427412882805,0.0348300114242429,0.9982523482625737
35,135,11.661984916923643,50.27010568068313,13.771862473463608,2.3933784064013537,0.3104147856118653,0.623365676684713,0.032615421513273,0.9985289694292319
36,136,11.45252554770864,45.93476640777961,15.124819586827094,2.364259572534316,0.2766536484661059,0.6350518742712646,0.0331655111033511,0.9986523442757239
37,137,11.636480664490268,48.428710743368285,14.1857007085467,2.2732479274411297,0.2920678435905442,0.6327220057254835,0.0321001690779753,0.9986470410169802
38,138,11.888431802569986,50.77716298410151,13.015498025742296,2.657073495301536,0.3403445877003519,0.595435455935384,0.034416842400761,0.9983873162750222
39,139,11.683571972455432,49.16320312369027,13.606142723324876,2.516236168190318,0.3203888787193271,0.6035380002106179,0.0329852622604849,0.9985803357256817
40,140,11.53898794587803,47.77776648688754,14.195849264637593,2.2914334020515064,0.2904661445821843,0.6342115426810899,0.0325136369584931,0.9986407712567454
41,141,11.58334240843192,49.85094940547718,14.750253689464662,2.00452888244763,0.2752035039614224,0.6641799911496397,0.0314896374805767,0.9987131975244596
42,142,11.437251524911698,49.91783915456151,15.99948208958573,1.8288182559549924,0.2451271598811678,0.7053736070591294,0.0319541959289855,0.9986237754793321
43,143,11.730158227396268,48.47725764281666,13.468809573307894,2.6842155869536555,0.3254734335894364,0.601561831621004,0.0337367177302421,0.9985221878965583
44,144,11.432470126814394,45.58515642406603,15.544951633823022,2.246762816066365,0.2644318781197303,0.6588174025710511,0.0330648571404397,0.9987005940926447
45,145,11.511862580084358,49.41888845794677,14.49322932277664,2.3204620785469103,0.2936153530694992,0.6419120977871772,0.0326428814664214,0.9985803635945744
46,146,11.690686067105563,47.70171844446706,13.668141235665413,2.5661576256464755,0.3158563401756343,0.6017082841787369,0.0334392420195232,0.9986114714339721
47,147,11.637137079371003,51.38130124354157,13.54295630990261,2.2832469475405013,0.3089823401121537,0.6398467905279714,0.0341490811417402,0.9983742168251161
48,148,11.776722623571484,51.60566624724,13.950631601183268,2.1569982908031413,0.3018239175387289,0.6277150735550077,0.0348741083077601,0.9982453495040218
49,149,11.791315252914178,49.132038644964254,13.61098348031446,2.62430348021336,0.326495084868798,0.5926813559487514,0.0337422707651328,0.9984818421600996
50,150,11.56513464194089,51.76662989979905,15.240525701982856,1.806387537139429,0.258311395427071,0.6990840417677245,0.0323909487858357,0.998565935143727
51,151,11.599236597310895,51.266445893364576,14.715411825853836,1.9493337053933253,0.2744117925153567,0.6846957973823613,0.0329419899325165,0.9985851807028393
52,152,11.654631840955158,50.68421831298393,13.919123729000091,2.312869213235309,0.3121308602609827,0.6153868096336303,0.0335368228296962,0.9985159026566743
53,153,11.445370648462308,47.470144384896265,14.69360759239828,2.365833213654934,0.2897938052320358,0.638937459232049,0.0325811784053892,0.9986665223436937
54,154,11.58867809678222,50.30551740941805,14.29678338405781,2.263806793473723,0.2997956130276085,0.6319362154779357,0.0321755585613722,0.9986183823210253
55,155,11.682144758700566,49.40866238415114,13.814899836018494,2.4405197325430343,0.3101932375347477,0.6176206858047768,0.0324525564351274,0.9985590928485254
56,156,11.503608199638007,52.314842316242256,14.771210917204568,1.836456080650432,0.2650072497071705,0.6951307401687221,0.0337718138646794,0.9984102702757883
57,157,11.589527362184173,48.588056948730326,14.557638713306453,2.456718678049622,0.3001357401121149,0.6136192997779791,0.0353362596305561,0.9982363294505764
58,158,11.476628633322711,49.01353217494007,14.776905317570565,2.186001654544601,0.2784671511065185,0.6595932916874663,0.0321116852592673,0.9986233745131022
59,159,11.549362015972946,48.51815306798744,14.480003459770248,2.051653318706673,0.2723544031446431,0.6613986317457442,0.032532513497579,0.9985900075132357
60,160,11.722465365063163,52.264181142169065,13.796275970681306,1.954918165199544,0.2911298365365117,0.650960390538558,0.0341208385498213,0.9984087936995834
61,161,11.648497897901652,50.56455816372793,14.574836305129317,2.1366699541513263,0.2895621602990995,0.6478532157075546,0.0324414335074194,0.9985511296231009
62,162,11.535295039657164,49.59423527274151,15.14584668669346,2.0592047189755647,0.2799865751880395,0.6514829071310719,0.0330191263814378,0.9986231467390905
63,163,11.61792400418507,47.65475872837139,13.940056436275889,2.672547805678424,0.3162643927396039,0.6014171207070056,0.0331890585189712,0.9986038988689836
64,164,11.571193900619605,48.12269328242601,14.370208608940889,2.0693082140028416,0.2688936983314484,0.6658277133082579,0.0333122615579405,0.9984703828640096
65,165,11.618836970283738,48.74887930711383,14.18413130691695,2.520613711426499,0.3149398088988063,0.6054434045586844,0.033298810960312,0.9985917480089889
66,166,11.556274777038844,49.85190684382799,14.43728918475258,2.455251260406744,0.3079679605921318,0.6256454541501205,0.0335939613166587,0.9985093234785481
67,167,11.550446457450882,50.14729139698439,15.027801567790384,1.9814446573629847,0.2706814141459319,0.6783112758366412,0.0315536483707935,0.9987093987484177
68,168,11.486942819724678,48.46473411733084,14.572841726756495,2.2525865356461736,0.2896097815465748,0.6421124278098854,0.0322861552914858,0.9986571323819704
69,169,11.688067180645165,50.1802084647664,14.061179512536857,2.0804212292391604,0.2891269142364696,0.6465297730249137,0.0324591608457472,0.9986088771846188
70,170,11.441978008184812,46.20502984382842,14.853491823043171,2.3606408837866795,0.2783591649878019,0.6431857016972786,0.0326813743581399,0.9986875229348094
71,171,11.866637693146686,50.26689803394658,13.240994745801768,2.696383342184689,0.341224719333551,0.5774038953318354,0.0345288082278953,0.9984073257628058
72,172,11.656722590264838,49.619800186450384,14.111169756135595,2.416012631856592,0.313906335405362,0.6164497165482152,0.0329991999859283,0.9986069484198027
73,173,11.573015264050298,50.5935961721189,14.449275421108728,2.153103061656701,0.28968955033966,0.6468454024697318,0.0319372299424229,0.998613479156025
74,174,11.658078438058691,51.67763981283633,14.121500329008905,2.010563255567792,0.2902831654051174,0.6444833077781552,0.0337126657163237,0.9984743660917419
75,175,11.581726423266304,51.40683020058356,14.525406825797615,1.9582522232125927,0.2733676981895937,0.6838116969554968,0.0331100873846916,0.9984955466153803
76,176,11.707279991009305,48.8533627347024,13.617083226705432,2.397928693401973,0.3084596853917715,0.6160465131039614,0.0326733610378922,0.998583239278173
77,177,11.56043190374444,49.61150914588571,15.279213805481696,1.9404028166926568,0.2626475649121227,0.6709909594353283,0.0321005685009361,0.9986089609678758
78,178,11.57645369904623,48.36300114004146,13.801685559918845,2.6163846676727545,0.3145212963039165,0.6086656097170036,0.0339542407623904,0.9984662200163896
79,179,11.590859112485424,52.98281907516799,14.45917007454598,1.9104950410600663,0.277921802842477,0.6828819157918958,0.0332498028438917,0.9984885800690471
