run_idx,seed,best_MRT1,best_MRT2,best_Pe1,best_Pe2,best_fr1,best_fr2,J_m
257,357,11.675862228398262,50.315771545617956,13.763522566883774,2.148759083369832,0.29508335473401476,0.6424267662104133,0.032461015342777455
258,358,11.638628037771596,49.75073548619581,14.037277789654706,2.3604643546005413,0.3081984192118628,0.625239518247739,0.03197523737037922
259,359,11.536396036149938,48.322681507002976,14.691557065984483,2.205784355844326,0.28357873260190214,0.651428973393368,0.031643973964038126
260,360,11.38375644819882,45.780829478874196,16.115050852448,2.0664359743434737,0.24520959867154396,0.6807451431765417,0.03223953264954811
261,361,11.564617634899204,48.35153974790117,14.465124005017472,2.1457196317009952,0.27904306991593286,0.654599759871816,0.03174574846717707
262,362,11.676603786308466,48.74742077446517,14.12552721584506,2.346520668140087,0.3002246183845914,0.6227215899585632,0.03259877608407249
263,363,11.665047425887078,47.68143101571564,13.70699221764685,2.6759221878908512,0.3167854199714249,0.601819892284136,0.03359638973104796
264,364,11.528541573628335,50.14232597552166,15.364226802377488,1.9743211286558804,0.2699426344599555,0.675329884386031,0.031574250574700854
265,365,11.722984201085097,50.12830272889062,14.226246989648317,2.163179899691986,0.296836619176419,0.6414317622167716,0.033464156150311744
266,366,11.491830748830875,47.28277240773308,14.950969104333891,2.4943321469711712,0.2983932282725808,0.6273384826948739,0.03399133564626152
267,367,11.45426360191728,47.173785309870794,14.913194468168648,2.2842587350613357,0.28169949782981074,0.6455317451203444,0.03204200233903602
268,368,11.55258015633428,47.47158386697539,14.978017789280567,2.07757250601426,0.2637432965840814,0.670024190888775,0.032469577098218044
269,369,11.361858694559182,45.684952190143555,15.158467174999856,2.3022075949440506,0.2642655658073385,0.6574543153774683,0.03428123933332014
270,370,11.410001592380777,47.5423779017286,15.123954613596279,2.1810942399511113,0.26680995044634076,0.6623794791392645,0.03255348504058266
271,371,11.421007583411544,46.9974905368332,14.841468495755453,2.2422691617023425,0.2753834755704075,0.651636782148177,0.032301599311154984
272,372,11.57634727575035,47.13162873837058,14.206988212239757,2.4529822972574458,0.29889132949036035,0.6115900496670922,0.03333866082867198
273,373,11.539510742366893,47.36265140888209,14.153860411220602,2.6115048950758357,0.30792121272063744,0.6027101195798666,0.03416262764276149
274,374,11.506866560419947,51.354747290314236,16.362771201235173,1.7468947964494461,0.24374393583280263,0.723126189930964,0.03396381732521718
275,375,11.442883177909334,47.26828559268053,15.390084120332531,2.230943441004154,0.2744356984635522,0.6466486332537487,0.03204145592682513
276,376,11.526465251128897,47.710072137105946,14.421282835587695,2.5787283604091087,0.306592506584188,0.6154868785102608,0.03310080306802279
277,377,11.700785617615473,49.09756182522034,13.438337162727969,2.5452742787776366,0.318688006070235,0.609505979407115,0.03309042721698326
278,378,11.725037896239733,50.47682514154215,13.747051163148544,2.4318268408235184,0.3188204356751488,0.6061016355405575,0.03317413291683964
279,379,11.5170688431966,50.701898981957996,14.90349389851826,2.0386847129991352,0.284955070760105,0.6541766851052258,0.03345676503184451
280,380,11.612533002294743,49.089692634186754,13.998234869375441,2.3348173108938965,0.2966790585104774,0.6353498021419471,0.032683664999844084
